"RatingPeriod","UserID","Username","GlobalRank","PP","RME","RMERanking","Location","RegistrationDate","Games"
2023-01-01,9367417,"-Ryn-",14957,7872.58,2033.43090993385,1,"Vietnam","2016-12-04 03:13:55+00:00",36
2023-01-01,6781232,"Shocola",27620,6863.52,1773.0265378096,2,"Malaysia","2015-07-17 10:10:06+00:00",16
2023-01-01,15858332,"Steakdose123",2941,10612.5,1768.74861836084,3,"Germany","2019-12-28 01:03:38+00:00",30
2023-01-01,12941954,"Sabakan-",2550,10862.7,1768.3626167609,4,"Japan","2018-08-22 05:07:36+00:00",21
2023-01-01,10910261,"Hu_Ai",14272,7953.83,1764.8522875419,5,"Malaysia","2017-09-27 10:03:59+00:00",16
2023-01-01,7989469,"Zefkiel",33695,6538.35,1760.25391328622,6,"Taiwan","2016-02-24 11:26:17+00:00",16
2023-01-01,11021073,"baoo",516,13790.6,1754.46967504275,7,"Vietnam","2017-10-18 14:59:06+00:00",12
2023-01-01,18948749,"t4hN",3652,10247.7,1734.65501530662,8,"Vietnam","2020-10-19 10:00:54+00:00",18
2023-01-01,11234706,"ZeitFrost",856,12861.2,1732.7558292242,9,"Germany","2017-11-26 14:54:27+00:00",22
2023-01-01,12805967,"Lukiii",608,13510,1732.69648951013,10,"Germany","2018-08-05 14:33:52+00:00",11
2023-01-01,4383303,"Kokuban",826,12938.2,1732.4163373043,11,"Germany","2014-05-11 20:24:12+00:00",11
2023-01-01,11889106,"Ruination",15983,7760.56,1730.37472438926,12,"Malaysia","2018-03-11 02:49:27+00:00",16
2023-01-01,10542491,"-Kiyoko-",9273,8654.88,1721.38152896121,13,"Vietnam","2017-07-22 11:12:17+00:00",18
2023-01-01,22461441,"3BDOOO",10179,8511.6,1713.26734907865,14,"Saudi Arabia","2021-04-06 06:40:55+00:00",9
2023-01-01,13972957,"furytail",12313,8202.38,1709.57194484679,15,"United Kingdom","2019-02-20 17:46:52+00:00",15
2023-01-01,18781432,"EPEMA",4237,10013.7,1707.1740439648,16,"Ukraine","2020-10-05 12:46:27+00:00",12
2023-01-01,2165650,"mcy4",51,18346.1,1705.35310649268,17,"Hong Kong","2012-12-08 08:33:38+00:00",9
2023-01-01,9098192,"jakk",30905,6681.87,1703.70862149159,18,"United Kingdom","2016-10-08 07:40:19+00:00",20
2023-01-01,11688228,"updraft",4329,9977.02,1701.3195274813,19,"Vietnam","2018-02-05 14:18:55+00:00",11
2023-01-01,4755314,"FlashoFoSho",919,12704.1,1694.12182680283,20,"United States","2014-08-06 15:28:10+00:00",10
