"Player","Rating","Games","1st","2nd","Lag"
11940128,1458.41743273795,7,0,0,7863
20089142,1458.40483536027,11,0,0,15718
16772248,1458.40104651658,8,0,0,1742
11027465,1458.30068682676,5,0,1,3019
5208892,1458.22469389482,18,3,2,16421
11113490,1458.15722209302,15,0,0,15170
16610674,1458.11652004826,3,0,0,27253
694480,1458.08334343773,36,1,1,5445
11393868,1457.99522650055,19,0,1,14857
16760593,1457.82506262648,5,0,0,20494
14579979,1457.81340498082,12,1,1,8839
10992412,1457.7428736833,5,0,1,26715
4009916,1457.72927467551,19,0,0,19532
13752247,1457.72598615683,7,0,0,5003
4689079,1457.72509218616,10,0,0,30035
32581758,1457.72035714286,2,0,0,20372
15599273,1457.67386505511,19,0,0,4977
8952169,1457.66930059506,4,0,0,14863
4277118,1457.58953074378,15,0,0,6824
5206423,1457.58022184084,3,0,0,4488
13635325,1457.5757350733,6,0,0,14857
21373275,1457.56590785975,4,0,0,21084
18859362,1457.50572055037,2,0,0,359
13529647,1457.45397457258,10,0,0,2408
14103753,1457.43323994334,7,0,0,14934
12683342,1457.41401420241,27,2,7,12305
12301388,1457.40750458911,12,0,0,12144
846038,1457.35610393938,16,0,0,7003
13693408,1457.35553674206,27,0,0,4032
13303674,1457.33446828323,45,7,14,2401
17865200,1457.22995327131,101,4,13,2797
11301620,1457.22309880985,43,1,0,9500
2708049,1457.21712562929,10,0,0,1266
5268451,1457.21192179015,11,2,2,29981
12365527,1457.16602324452,4,0,1,22779
4165369,1457.11636929347,16,0,0,14760
14449536,1457.11407734139,3,0,0,2021
19159042,1457.066097495,6,0,0,8459
12367596,1457.03353475902,2,0,0,545
16799786,1457.02014732475,6,0,0,98
7019361,1457.01598392766,16,0,0,90
16108854,1457.01192680204,8,3,2,19424
9349479,1456.9941511211,15,0,0,20313
5341033,1456.94569522747,55,0,8,801
9140937,1456.94042193648,44,4,1,419
8688804,1456.92605818289,10,0,0,9109
14828269,1456.89243779392,3,0,0,138
19271086,1456.82203276943,3,0,0,17740
20173050,1456.8094029836,2,0,1,19400
17249530,1456.80590649257,5,0,0,14823
18403789,1456.77196005793,53,1,10,288
22656363,1456.73619940333,6,0,0,18872
3481378,1456.72415875021,21,2,2,26019
13126464,1456.71392636105,4,0,0,6006
12133078,1456.67991826892,6,0,0,7904
7720423,1456.67120761853,7,3,4,26144
5102545,1456.65604150557,4,0,0,11719
21898231,1456.64089124711,2,0,0,17765
10638413,1456.63140530578,11,0,0,5130
18475027,1456.58851831143,3,0,0,4233
17955587,1456.54953037901,2,0,0,17381
13837396,1456.47044665384,23,2,6,2521
16491865,1456.42789010277,28,6,4,17744
16313328,1456.42039837891,2,0,0,29322
20579074,1456.41009856204,4,0,0,22687
13893715,1456.38382284025,6,0,0,25132
3696551,1456.37280435665,2,0,0,918
12917799,1456.34115154661,20,0,0,24794
11840558,1456.32083363693,10,0,0,3060
7678119,1456.31103799461,70,2,3,65
20867779,1456.28953046066,11,0,0,667
9315355,1456.2007211773,10,0,0,9526
9468744,1456.18456037667,63,9,16,1644
17748762,1456.168522317,6,0,0,98
5946297,1456.14933113313,6,0,0,28204
30137844,1456.1417289679,2,0,0,25101
10179971,1456.07074339532,4,0,0,21953
19040978,1455.96020788994,5,0,0,25127
5663203,1455.95905619489,14,1,0,14676
21118566,1455.94033224419,6,0,0,24889
14915029,1455.93997112419,2,0,0,5445
32270228,1455.90879918025,2,0,0,660
6939508,1455.89884666058,6,1,1,31174
15136555,1455.86267448767,2,0,1,9949
25264033,1455.85737908079,5,0,0,2397
9426384,1455.80524779429,3,0,0,8039
8743007,1455.7896455496,9,0,0,3060
12020859,1455.7483607776,2,0,0,2700
10301414,1455.71865658936,2,0,0,1589
