"Player","Rating","Games","1st","2nd","3rd","4th","Lag"
12408961,3309.48957955949,1465,639,261,0,0,5863
14106450,3288.34859587433,480,156,96,0,0,2814
7562902,3097.16974326114,201,53,40,0,0,2811
8472976,3050.06493347888,592,214,137,0,0,2514
7813296,3024.29075060361,802,186,103,0,0,12773
1473890,3013.27032126781,610,200,114,0,0,2814
4787150,3006.58523991397,180,33,32,0,0,12773
11443437,2976.86957116855,2009,673,387,0,0,5125
8116659,2930.3358544597,441,153,65,0,0,2811
2165650,2919.90779021449,1136,294,203,0,0,906
8640970,2892.98598971324,1093,218,202,0,0,2814
9694263,2881.42752159648,1022,209,172,0,0,252
8007528,2860.12038882613,389,109,52,0,0,2865
9405745,2837.52838554869,781,150,89,0,0,6526
3717598,2804.46414596361,360,69,62,0,0,16384
6304246,2803.92814276082,396,94,58,0,0,16340
2546001,2797.57902313856,945,164,118,0,0,3336
15173952,2790.38179081233,783,111,92,0,0,5985
5199332,2788.87947034338,572,122,93,0,0,2811
1906975,2788.39900096932,179,76,39,0,0,2766
2511839,2784.40344447083,886,208,155,0,0,664
11375105,2783.27752472583,511,95,61,0,0,906
16817965,2781.42704915357,543,116,78,0,0,52
12366071,2779.80224414748,190,26,30,0,0,20422
13380270,2774.0290794444,721,98,69,0,0,12381
10069909,2768.07367796571,508,92,58,0,0,247
4581069,2765.51615256502,315,67,44,0,0,3339
8152145,2758.2004736462,443,107,66,0,0,5937
11399348,2753.64844528159,233,104,40,0,0,12949
7787629,2752.80451637042,599,136,96,0,0,19912
8443945,2747.61207184552,495,71,55,0,0,3824
1646397,2746.61448094953,466,88,59,0,0,906
7075211,2745.98524270046,545,69,72,0,0,661
10073635,2741.35110065304,193,49,39,0,0,5510
19998548,2737.76461358653,607,158,94,0,0,836
2291265,2733.12805807398,662,112,83,0,0,6479
9052194,2731.73191846471,968,188,148,0,0,822
4504101,2726.94056807907,123,11,9,0,0,15894
5645231,2725.73333677101,555,65,67,0,0,15325
11091594,2720.14038992295,475,68,67,0,0,247
4108547,2717.14338851712,591,69,56,0,0,6441
