"Player","Rating","Games","1st","2nd","3rd","4th","Lag"
14106450,3297.19108800697,550,179,108,0,0,1621
12408961,3243.41752127309,1595,675,285,0,0,1305
7562902,3195.72901095541,222,63,43,0,0,2416
8472976,3165.74216082194,904,341,195,0,0,122
2165650,3039.51774952978,1330,359,225,0,0,122
8640970,3011.46335255646,1245,255,219,0,0,1400
4787150,3006.58523991397,180,33,32,0,0,39839
11443437,2999.22042010288,2121,703,414,0,0,478
7813296,2982.20723468132,884,192,109,0,0,48
1473890,2949.14646629318,655,202,114,0,0,2251
8116659,2941.92413311024,584,203,87,0,0,268
5199332,2920.98924914367,723,170,108,0,0,1475
11399348,2899.72952899604,407,132,63,0,0,122
9694263,2895.38603645149,1235,259,201,0,0,1475
10073635,2882.56961560359,290,62,43,0,0,1941
2511839,2870.66833173765,1025,239,176,0,0,962
3717598,2863.24666318864,439,96,71,0,0,781
9405745,2855.66814181727,888,182,104,0,0,1187
9224078,2840.17510301869,238,12,28,0,0,615
6304246,2836.27524748874,488,106,78,0,0,48
7075211,2833.49740229622,668,89,82,0,0,1424
19998548,2829.69176216644,698,167,104,0,0,1081
2546001,2825.01851955308,1101,195,139,0,0,1081
16817965,2819.86106601956,744,151,104,0,0,713
8007528,2815.09982355464,496,121,62,0,0,1542
13300203,2808.18265023909,902,217,155,0,0,53
13380270,2807.48782058615,862,118,84,0,0,1981
11794209,2805.64188713304,690,113,92,0,0,50
5339515,2799.13116697189,297,39,35,0,0,48
15173952,2790.66856363308,868,120,97,0,0,48
1906975,2788.39900096932,179,76,39,0,0,29832
1646397,2784.04850732304,643,107,77,0,0,389
5033077,2779.85560423313,443,76,42,0,0,36
10069909,2778.97027859999,627,107,72,0,0,622
124493,2772.54538509882,127,21,25,0,0,5041
8152145,2769.33426988423,458,110,67,0,0,4749
2291265,2765.36906888082,803,156,113,0,0,48
7341183,2762.04813913814,156,29,16,0,0,169
11091594,2761.2831895776,533,80,80,0,0,18040
6327638,2753.3119133265,739,74,82,0,0,48
7787629,2752.80451637042,599,136,96,0,0,46978
9269034,2748.02134195504,636,103,78,0,0,1443
8443945,2747.61207184552,495,71,55,0,0,30890
11375105,2746.39646285862,632,98,69,0,0,1568
9052194,2744.07123534045,1167,211,171,0,0,635
4504101,2743.82848742609,124,12,9,0,0,2018
7333471,2741.67951187377,252,24,24,0,0,1279
9712285,2738.01575215255,709,119,116,0,0,557
4581069,2735.94695088311,333,68,44,0,0,1424
5981005,2730.07430017255,206,57,27,0,0,1295
5645231,2729.84720985156,657,70,75,0,0,1443
4108547,2724.63106857653,653,78,58,0,0,48
10549880,2724.45763211754,495,72,57,0,0,3547
10975777,2715.03832947652,327,48,36,0,0,36
11552867,2714.67383278943,1193,189,149,0,0,557
12366071,2709.46636289556,197,26,31,0,0,20532
12779141,2702.16894259578,628,89,78,0,0,11490
9719351,2695.85178239051,1233,147,126,0,0,1424
5447609,2692.48046434259,186,41,32,0,0,72320
12736534,2691.65747763117,160,39,27,0,0,169
8105138,2691.42865967402,209,40,37,0,0,18022
2558286,2691.15506675804,571,125,96,0,0,593
4470775,2686.26698201057,344,59,26,0,0,1707
6754508,2684.81154792644,560,76,62,0,0,392
10056419,2684.26224455211,885,158,100,0,0,622
4734703,2683.39075699441,694,108,104,0,0,2416
9938943,2679.53469925825,517,89,54,0,0,426
11592896,2678.74063941569,855,82,79,0,0,1981
8335950,2678.13845948063,208,44,32,0,0,1187
1876565,2667.78962672301,647,137,132,0,0,593
1629553,2667.69968126669,134,32,21,0,0,36762
7892320,2665.34640356553,710,122,115,0,0,1568
4346274,2663.73748292741,351,46,46,0,0,462
11375251,2663.3617559738,1018,146,114,0,0,457
11376152,2662.37433457769,1063,211,176,0,0,3228
12959983,2659.27373273522,981,173,129,0,0,563
12760743,2655.96927276234,265,54,44,0,0,462
10325072,2653.67938635129,1878,194,155,0,0,50
13228917,2651.43334706904,430,91,45,0,0,369
2012453,2650.2313290343,456,102,77,0,0,36
10092099,2647.60986039112,158,64,34,0,0,17997
5413624,2644.77273331886,1079,140,105,0,0,122
1719471,2641.96346296469,263,52,53,0,0,46958
10676573,2641.87582695706,1050,182,119,0,0,36
3149577,2641.7821575611,962,155,108,0,0,48
3533958,2639.9198325677,644,74,70,0,0,1138
11684622,2634.60832738232,459,47,42,0,0,1071
2323131,2634.46036775625,116,32,14,0,0,1475
3257847,2634.22972939613,2012,448,256,0,0,559
7027766,2630.60415739183,263,38,25,0,0,478
9961301,2628.49071150113,264,71,55,0,0,1910
16288992,2625.95090675902,1412,261,209,0,0,50
9313951,2621.97687199509,792,178,142,0,0,122
