"Player","Rating","Games","1st","2nd","Lag"
12408961,2704.36915917393,194,73,20,599
11443437,2623.87300929072,529,204,105,80
2165650,2564.95173882776,251,64,51,106
7813296,2525.80972348849,169,37,21,73
2511839,2494.09675346225,243,59,36,108
11405734,2483.92718016306,186,74,28,10
14106450,2462.96465356583,82,22,10,742
10676573,2440.42476136979,228,49,28,7
11552867,2425.02981532749,118,35,15,259
8116659,2422.27162157682,68,23,9,70
14758501,2418.06439066168,263,49,30,354
8640970,2411.07289449982,161,19,32,628
7892320,2402.82172448421,187,35,38,616
9313951,2392.74487331251,176,50,42,668
10549880,2385.45863557729,138,22,15,1163
1646397,2363.49700605351,95,16,16,70
6303313,2359.66340821151,79,43,18,3425
5199332,2359.4970739516,162,47,33,106
14362480,2356.58705168237,82,38,14,3789
2546001,2354.27155663701,173,25,20,73
9405745,2339.80166661235,117,26,11,653
14806365,2334.80656355751,152,27,10,770
9362168,2327.04065716119,172,28,28,7
11920994,2325.54833247248,115,15,11,7
9269034,2318.58194034826,126,12,14,1163
6304246,2315.35179961669,88,19,13,478
8364754,2314.10256809982,65,35,12,5727
20087811,2299.72446871826,132,33,18,7
1860489,2293.80872626422,68,18,9,768
11380904,2286.46780051528,90,27,13,1282
4383303,2283.81952740211,145,52,30,3214
12736534,2276.10676055664,46,18,9,971
18092331,2274.5235315746,132,16,15,572
5413624,2273.1579528515,221,32,30,169
14518295,2268.49965581854,117,22,14,372
11375105,2260.70639086906,75,10,5,106
7027766,2253.5698201826,77,17,9,836
3149577,2251.78869026053,186,25,30,1065
16320893,2249.15563239908,313,62,56,171
7989469,2248.49441312965,346,56,50,7
4382220,2246.638391992,139,49,22,242
12578000,2243.02899160769,66,12,14,695
7512553,2237.18826915816,95,41,19,3106
17467899,2235.75943026941,368,123,62,158
6989615,2235.45633352042,127,17,19,7
3717598,2231.45307208206,75,18,14,811
6867478,2227.72678274782,179,31,21,567
13291701,2227.12162748247,147,18,14,270
8152145,2217.9868096158,46,13,3,354
5442251,2210.55146585578,74,22,16,1097
3257847,2207.35573498949,302,90,45,39
7075211,2200.51890539181,66,11,13,3043
15846736,2191.80065942015,381,81,50,270
5447609,2187.66514007022,88,19,17,736
9052194,2186.81725082237,230,49,40,121
12537417,2179.78022872277,156,21,11,372
6399568,2179.7411001897,81,27,24,742
14548572,2175.61224880775,129,28,18,468
12301126,2171.13654039267,78,29,13,467
12779141,2169.18365913466,120,8,13,106
11129034,2164.40925436735,294,46,52,111
8359561,2161.99589851728,375,90,89,106
6973354,2159.19300676886,100,18,12,299
11592896,2156.86441439586,123,8,10,1092
4734703,2154.77987677945,64,19,11,1702
9027651,2151.13127686493,162,33,27,778
10343292,2150.61626910022,67,14,13,904
10592853,2148.95532630733,127,13,22,836
5645231,2148.02913602626,81,13,4,70
10092099,2134.96574471685,76,30,14,1268
6090175,2134.45088690122,89,6,12,70
16227745,2134.32529615354,238,40,31,142
9501251,2133.78293391311,97,8,8,260
23303515,2133.74102308405,97,33,17,7
4346274,2133.40390012702,39,12,9,12365
20988374,2130.6107068472,118,17,10,899
10728620,2130.17642848337,96,8,7,7
14385814,2127.26005099909,118,15,14,263
10651106,2115.50735444756,105,9,13,478
7940696,2112.3222341557,74,15,8,299
3533958,2111.5912147478,100,9,10,73
11536421,2110.89162570505,146,14,13,7
9501611,2109.16422073286,132,17,11,270
2012453,2108.9972975009,69,5,5,1092
4470775,2105.97062301508,93,13,8,70
8964050,2105.88218018696,65,22,4,1819
4277702,2105.7917323259,61,17,14,3106
11189917,2102.32392948647,50,26,11,1664
2472609,2102.10505166954,76,10,8,870
8007528,2101.43400822022,51,16,7,8382
6420308,2100.24855696153,106,18,11,778
16288992,2099.84304879432,203,25,32,7
11255340,2097.98497398754,200,37,20,169
1473890,2092.28925566571,39,17,7,870
11234706,2090.87152490696,194,34,30,137
4830687,2089.7010775361,168,14,15,802
6830745,2089.36396197001,118,22,22,71
15656399,2087.35638733522,94,23,8,117
17847877,2086.67552978686,354,79,70,7
9560694,2083.19355144153,187,47,28,340
10849159,2080.91754570843,81,20,7,124
9526124,2079.75926151515,179,22,34,533
12483293,2079.45430091295,68,10,5,584
20630250,2078.187704436,412,64,44,298
7657831,2078.05521570689,73,20,15,35
11604978,2075.66663487285,42,13,2,602
10157694,2072.82549326383,252,33,32,49
5242158,2070.95883296955,76,15,14,653
5309981,2069.84547356108,143,24,15,264
11345747,2069.34890603028,62,32,20,904
12805967,2068.94901923166,109,20,16,607
5981005,2068.53285598691,30,17,6,888
1433427,2068.47309553661,128,29,20,4
6404027,2068.13748987847,52,2,9,904
18047706,2065.79379790677,209,22,24,219
10434787,2065.75797813856,85,20,10,35
5218178,2063.05891985331,54,10,8,3734
12450467,2062.09533420745,66,11,6,783
7972980,2060.10153045924,82,15,8,904
14438574,2054.78805234943,63,3,5,622
6754508,2053.9997214356,40,18,5,3149
8085085,2053.84361982869,50,20,5,617
9984860,2053.00964766452,144,6,16,7
9367417,2049.5717041876,38,11,9,20812
8925266,2047.53561842981,47,2,3,975
5177569,2046.72557061854,77,5,6,73
12776754,2045.1233391008,113,26,22,321
5791401,2044.6051785565,212,25,19,70
5346730,2044.09284276548,77,21,11,792
14800198,2042.87110654114,64,6,4,7
1460263,2040.35268564968,352,73,57,4
6671641,2039.16226998836,148,12,9,169
7101953,2037.81817064332,127,12,18,841
12378737,2037.26068621525,72,7,7,70
6560308,2036.18149918668,96,19,14,617
15293080,2032.939815935,81,23,17,1573
17911347,2028.32574660463,97,42,20,24
4637369,2028.23713869485,49,17,10,842
11189164,2028.07357622882,299,57,44,171
17958667,2027.54039317888,148,8,10,7
9276293,2025.76710066445,114,3,4,484
9294554,2025.05437663378,79,7,5,270
5324987,2024.65673391588,50,12,10,912
16626263,2024.60700389817,152,26,22,557
9883156,2023.32896782902,175,43,32,118
2694475,2021.69982666456,47,8,10,108
10674817,2018.47947116669,55,17,9,5943
10500832,2017.50000409483,62,12,9,7
3601553,2014.77693363522,92,5,14,535
3772251,2012.98391977571,59,1,5,70
10463129,2012.93446739113,202,32,35,298
11684622,2008.82378900816,55,11,5,607
14855337,2008.63302001098,76,23,11,265
14445724,2008.37880993369,43,4,4,7
6387149,2008.34283954544,100,11,17,904
3216107,2008.11119694369,87,18,18,708
15745271,2007.18381603993,82,8,15,708
27234119,2006.12340603228,130,20,20,124
12040280,2005.59184741611,66,18,16,3333
16561695,2005.24882704566,65,1,4,617
10613549,2002.63975776091,51,8,5,949
16435346,2002.32553980458,196,17,18,516
11267857,2001.91193580145,121,3,8,169
7302148,2001.6456702012,85,12,10,765
3149395,2001.01695303713,208,34,28,524
612898,1999.0481784735,35,9,6,626
4399129,1998.85296595914,203,30,30,169
9845103,1998.29894337,204,30,33,383
18781432,1997.69391938644,242,23,21,7
2791044,1996.45839491174,77,5,13,10
7713152,1996.14186585021,99,9,7,299
10056419,1994.226738684,93,10,9,3840
4301976,1991.87322814558,90,9,9,1257
3163649,1990.73036011084,37,10,4,4045
5774823,1990.04001911335,43,3,8,3121
13380270,1989.37008466012,121,10,10,478
6479616,1989.0725266849,43,10,11,392
10816653,1988.94432967787,32,7,4,7
4209818,1988.89455539672,80,4,7,3922
6744123,1988.25711179487,62,10,9,688
7023000,1987.6056813059,140,11,10,7
11222462,1987.51696964929,90,9,9,627
10997439,1987.47575404807,223,20,28,7
2321050,1987.20301154343,40,10,4,2979
4784772,1985.79881776148,195,43,31,372
4018079,1984.95434225114,47,4,10,8674
6920104,1984.8732791697,53,11,10,392
8208289,1984.4279891376,50,9,6,422
12959983,1983.78861227404,32,8,5,1799
6379036,1983.60377944721,121,12,16,7
11153458,1981.58722830662,39,2,1,778
8315885,1981.42241574953,146,36,23,7
11198996,1981.30422453165,41,7,3,897
2291265,1981.2425100662,55,4,0,870
11715109,1979.38438965873,87,5,5,478
9340773,1978.06354579796,53,7,4,7
15641344,1977.62724485551,88,6,4,489
9323821,1977.54560271903,130,45,21,169
10526814,1977.35951245501,96,31,29,465
7780605,1976.92783757416,114,22,18,70
14457670,1976.72469747265,102,7,10,1257
6502403,1976.24348077386,39,10,7,882
4989296,1975.07282051179,81,14,9,7
12904237,1973.35265009952,198,16,6,615
4309566,1971.4972122769,58,13,10,125
8500628,1969.59183392982,98,9,7,7
7452074,1969.53929493769,97,27,12,1131
12090610,1969.14053516954,238,22,18,607
15173952,1968.32307001293,93,6,11,70
9484080,1967.7139760536,141,16,5,984
13218204,1967.32860054038,88,14,15,3221
2590257,1966.25503134354,46,17,11,761
11553627,1965.64923804844,38,2,3,3156
4519494,1965.44022433942,67,6,6,231
14503423,1965.09583511982,34,3,5,904
14592820,1965.02583027497,139,21,13,12
5472693,1964.26749355902,28,4,4,7
7178423,1963.16511517943,47,6,6,3372
25003136,1963.0233372496,50,19,6,555
124493,1962.63026106668,28,10,5,4124
12728547,1962.5440725248,45,7,6,57
4585186,1959.68014203317,43,6,12,842
9938943,1959.18238026922,65,15,6,1563
7341183,1959.1368869373,28,8,2,379
6149313,1957.72609142095,134,34,25,816
8788058,1956.6649836522,100,18,9,557
4852013,1956.61956086545,29,10,3,2886
14447878,1956.47442130078,300,54,52,80
14309415,1956.32555002498,46,3,5,377
13205755,1956.11851554463,109,33,20,1267
13065919,1955.92710125279,74,17,6,478
14860270,1953.6101371536,137,9,7,267
12431599,1952.67610132698,261,18,17,299
11367222,1952.41603288947,56,6,3,870
9921139,1952.31258404766,63,13,16,3248
10170668,1951.6202497043,43,7,3,4162
9136545,1951.40300246264,40,6,4,11746
6237416,1951.27660670889,44,5,7,1051
8581210,1950.75304183924,131,50,21,478
4458239,1950.57464617703,93,3,5,572
8105655,1950.35845712936,119,12,9,110
10509043,1949.17339221811,49,9,3,57
7421892,1947.13740677793,32,12,4,463
16535905,1945.36154988415,40,14,7,285
15392570,1944.58503874006,29,9,2,7
2758279,1943.89747813379,43,10,9,904
11308471,1942.91388215294,33,2,7,751
4166621,1942.8119526728,53,7,10,3415
19998548,1941.67636822028,70,11,5,73
18131614,1940.60057744886,166,7,19,7
10199656,1940.16601223235,119,17,10,133
10669817,1937.99068267593,72,17,5,843
18357479,1937.89353604906,68,14,10,3090
5584603,1936.85583620242,63,6,9,1586
10760701,1934.81257963955,34,9,9,392
10829419,1934.72844420413,91,3,5,1044
1040250,1934.23273321135,44,6,3,1309
1876565,1933.94768053812,68,6,10,106
3318668,1932.16299209483,23,11,1,972
15441612,1931.43787310308,584,152,145,3
11142471,1930.15482140181,63,5,4,378
11794209,1929.72383458106,44,2,1,3331
16436446,1929.6879284552,62,22,14,96
22139521,1929.62777864204,58,15,6,1095
3859111,1929.46451188612,85,16,8,6593
11239094,1928.59492758553,85,8,8,1196
10952922,1928.29184246411,156,16,8,372
9367683,1927.54962178415,46,6,3,778
3115283,1927.5276597138,49,9,4,607
11607790,1927.38770500212,98,25,16,941
17272840,1927.06368288709,51,4,3,270
1041943,1926.77554772758,243,40,40,80
10917620,1926.2972568479,75,12,8,975
14024115,1925.77251246335,107,34,25,557
11446219,1925.17814522369,57,8,10,7
20461077,1924.71921165751,48,4,9,493
114017,1924.67708232035,255,47,42,66
14443032,1924.6135334675,96,35,21,3604
3394696,1923.13558414402,72,12,8,151
11042418,1922.89955125286,23,6,4,580
2272587,1921.67692766066,37,3,2,972
3139364,1921.048734304,34,9,6,3372
7060756,1921.0424380228,48,10,4,330
8165685,1920.03635251636,93,7,8,778
8511882,1919.77795132726,54,1,3,10
2767636,1918.36379434868,62,2,7,1099
4415285,1916.25551041237,61,10,10,692
12241010,1914.78214249491,54,11,11,93
2917990,1914.70256465237,75,4,5,373
11371245,1914.13247063968,82,11,7,70
9459674,1913.55029541014,37,6,8,617
10458639,1913.46815579697,98,14,6,584
16197865,1912.91650704622,169,21,15,7
11511783,1912.87620968035,67,19,6,10629
13963691,1912.76445010592,36,10,7,533
15251627,1912.73483789292,61,7,7,117
10562797,1912.53960864859,71,3,6,2384
11688228,1911.87741945706,83,12,13,630
14817468,1910.48024314052,78,9,7,630
14919428,1909.87269822612,49,3,8,834
5143605,1909.8719334273,65,2,7,49
4803900,1909.07018610654,42,13,10,1504
4896825,1909.00458184703,40,8,4,653
11680054,1909.00402917732,74,7,2,7
6767144,1907.97737681485,45,13,9,7
5425046,1907.24277485546,73,8,4,108
11269055,1906.31472826254,145,3,10,1055
5033077,1906.23323786813,33,5,2,6438
6366060,1905.98542761659,57,8,5,372
9652467,1905.856862691,136,16,17,69
3328742,1905.60249668413,42,1,3,70
16052525,1904.01022330078,152,13,4,516
10487020,1903.69109308051,112,7,7,2884
12148238,1902.28560009508,55,19,10,2023
1540807,1902.13552151088,58,10,4,790
10051720,1901.73243432067,77,0,4,422
9265990,1901.46525185923,100,5,3,70
14472389,1901.37252381334,258,33,23,124
14402477,1900.84835641651,57,2,4,649
10424384,1899.90862697522,32,8,6,2631
5245584,1899.74912371332,42,11,2,445
12701607,1898.04083866842,75,6,6,626
11091594,1897.39122126639,53,6,8,748
15308238,1896.18065721761,69,19,10,10555
9975427,1895.72770334679,61,3,3,612
11412507,1894.75721057066,61,12,10,850
9767342,1894.39938287398,60,15,11,787
8268978,1893.83109392785,165,9,13,778
20249211,1891.73903408575,106,14,9,299
18906801,1891.62373019609,82,5,5,493
17124682,1891.20634318872,79,11,6,270
5394938,1891.0544352438,60,11,11,3407
7787629,1889.5716534862,22,9,5,263
10625776,1888.59323408059,144,11,9,54
4858555,1887.52392299617,62,11,8,33
2186872,1887.09012812272,28,5,0,49
11806306,1887.07311229642,41,7,4,383
10184558,1886.35944663944,55,6,6,493
4504101,1885.94454621264,23,8,3,3793
5477343,1885.85316371929,108,16,15,1061
6283858,1884.53344485935,82,17,12,586
11137291,1884.3694627149,148,36,30,217
11645855,1884.35856190161,32,3,1,413
18296925,1882.57273042448,126,7,5,298
9659805,1882.35096470546,101,25,15,126
9970083,1882.28603201582,22,14,1,10544
9211924,1882.01374445339,80,16,5,3221
7586334,1881.89387111842,52,2,4,169
12079158,1881.71413407253,191,41,25,159
3674590,1880.67967860828,118,32,15,35
3929529,1877.7185590787,56,18,12,11264
12324616,1877.44112682387,218,26,40,7
3462985,1877.2075855717,118,10,10,7
7078544,1877.14518525047,53,5,3,392
10143086,1876.87053495204,48,8,8,630
13767572,1875.09114530962,53,12,11,975
12179012,1873.41629403512,47,8,6,3247
13300203,1873.40628179265,77,12,7,607
9331403,1873.05745506,36,13,2,904
14040810,1872.54855248404,34,4,5,516
15030466,1872.48504038829,30,11,7,3280
7764053,1871.66771781076,54,7,6,795
10250612,1870.71446761311,66,19,8,850
929311,1869.81104900655,131,23,29,257
11132798,1869.56914772342,26,9,2,12365
1218895,1869.44133601254,78,13,16,1383
10910261,1868.57630147991,40,7,3,3884
15868788,1868.39173009221,140,10,17,299
14684430,1868.27465200088,53,22,10,77
19606212,1868.12054015351,169,61,55,18
13319294,1867.79205209652,63,20,8,13664
4108547,1866.60775644996,32,6,0,1092
16817965,1866.06567159632,23,7,2,1097
26796620,1865.08349518657,69,19,7,180
4316633,1864.47060800443,29,3,3,169
6643511,1864.17086524342,305,28,20,3
13896734,1863.96725814704,61,3,8,54
7774197,1863.55423578918,167,27,15,263
11129041,1863.12210365721,117,8,15,39
9322480,1862.95984636649,64,6,10,3221
6757317,1861.88059653356,58,3,7,708
8275006,1860.47984393348,55,5,9,70
19236425,1860.2375071874,134,21,19,299
13207763,1859.41893237274,85,2,5,70
13628898,1858.94558327287,77,6,4,422
2282047,1857.26731991376,22,5,3,625
13627426,1857.04468661098,60,5,5,1849
11554464,1856.06254401375,68,18,14,3221
11076938,1855.99185909204,84,14,18,125
16094871,1855.52953911113,52,6,5,349
9694263,1854.58612854761,36,8,7,6605
12601090,1853.37541418859,63,8,8,978
8077264,1853.32951689786,73,11,15,3956
10137131,1853.06653417778,88,3,7,622
15977117,1852.9765473191,79,7,12,458
2742030,1852.54421798314,32,5,7,10586
1195423,1852.53221993227,50,7,2,10892
13659816,1852.35257357946,50,6,2,1029
12941954,1851.76141148346,42,17,9,4
9719351,1851.06373202869,61,0,1,3221
5411734,1850.78205331028,34,4,5,33
2110845,1850.23641060084,36,2,4,1092
11375251,1849.53294078177,68,9,10,628
15858332,1849.27007072992,170,16,18,895
10223298,1849.11712126829,39,3,4,10138
9997359,1848.9307973235,48,4,7,1985
17706086,1848.61909445899,53,14,7,169
13281473,1848.16232728613,32,13,2,10826
11134301,1848.14683183028,69,5,6,1586
11726139,1847.81343919743,293,37,19,89
13241562,1847.30219221501,72,0,2,70
4010492,1846.91292302561,45,1,0,7
10345531,1846.5627273394,101,7,6,972
5403374,1846.55594223321,44,9,1,3115
9701942,1846.00561765189,46,4,6,708
8065765,1845.8702924281,29,3,1,49
10029074,1845.68601262862,56,7,11,622
11811036,1845.20321541959,116,13,8,302
12952320,1845.19816364096,22,2,1,625
6585939,1844.66162042314,33,4,5,3191
10685608,1844.63096671016,94,19,11,285
13652059,1844.04110177067,51,3,5,3895
757783,1843.95849804696,210,34,23,169
21130016,1843.24204332777,134,28,18,299
2848604,1842.88132990275,42,5,3,70
7365196,1842.7302504253,43,5,3,372
12949657,1842.62467926411,76,4,3,780
23738997,1842.42809975605,105,21,18,126
1683740,1841.79516515098,64,20,14,874
6619303,1841.74461072198,55,4,2,73
11305398,1841.6193059133,37,2,0,1012
2850104,1840.53859985505,130,11,5,7
7457788,1840.20701838438,50,2,1,169
13077790,1840.06646377532,32,2,2,7
9254536,1839.84443599505,37,5,9,607
11786864,1839.68648483926,59,11,5,7
8926244,1839.58508632907,110,24,11,169
11821951,1839.50431829411,52,4,5,468
8198848,1839.30202483232,40,6,2,975
1347004,1838.77042407569,61,3,1,124
3148418,1837.71715574235,103,35,30,392
