"Player","Rating","Games","1st","2nd","Lag"
14106450,3263.54898108161,410,134,84,12462
12408961,3182.12663119664,1234,532,231,88
11443437,2989.16622684221,1686,557,317,35
7813296,2983.84467438534,664,153,90,475
1473890,2919.78334584801,521,163,98,146
2165650,2894.05869164702,1020,267,184,211
8472976,2882.65338671472,247,84,62,112
9694263,2881.66967881086,760,176,130,31
8116659,2869.91046328506,368,133,51,1432
8640970,2839.42197489236,856,153,159,388
7562902,2839.32475914284,141,41,30,16424
12366071,2838.22841176737,160,22,25,151
2511839,2820.75892777158,797,196,142,1375
4581069,2801.18676987962,250,60,34,235
2546001,2787.59880747319,686,131,85,333
8007528,2779.19519164549,287,93,42,4692
16817965,2770.41633676763,389,80,61,253
9405745,2766.01699370805,665,114,67,550
8443945,2760.57135185078,378,55,47,343
13380270,2758.48342750893,618,92,61,6615
3717598,2738.76070197554,278,57,49,211
5645231,2732.40733563437,503,59,60,197
11375105,2729.78963692641,379,78,46,346
7787629,2726.79584743383,555,130,88,2265
10549880,2705.34941085443,370,51,40,12295
1646397,2696.37212072764,393,72,50,346
8195473,2695.92746671516,276,65,48,868
5447609,2692.48046434259,186,41,32,4746
124493,2692.35409425214,101,21,22,12411
7892320,2687.90839872863,552,101,96,112
15173952,2686.30960566724,646,91,73,263
1876565,2685.30847370169,392,66,64,112
7075211,2684.91757357641,469,59,66,3019
8152145,2683.85598978124,329,85,48,367
6754508,2668.85144786294,327,49,30,335
9052194,2668.79549009726,827,166,120,66
10073635,2665.56332264155,160,48,32,7052
1906975,2664.43603023593,141,56,33,27708
6304246,2653.74386433719,293,73,38,1931
18092331,2653.04381028391,1148,247,124,88
12779141,2650.27999508371,511,71,52,88
2291265,2646.68811651945,528,95,66,290
11552867,2643.81856560739,874,136,105,88
11479551,2639.19829917256,256,49,30,408
19998548,2634.79973980841,400,98,76,6560
13300203,2626.75738305367,416,73,57,682
9269034,2626.57017250195,422,75,56,243
4108547,2624.00972887854,496,59,50,388
5981005,2621.34992511471,156,54,24,88
11129034,2619.92929665438,1298,239,227,31
11198996,2618.69119294801,224,38,39,16458
5199332,2614.17038933376,452,98,74,354
6619303,2611.46812138266,200,13,8,3019
11794209,2611.26231121967,315,49,38,88
11684622,2605.70047689136,320,40,33,1432
2558286,2604.43050504703,215,32,22,112
9712285,2600.82352808988,432,74,71,88
13228917,2597.39562420344,353,60,39,628
6327638,2594.82238867932,456,50,48,151
11215030,2594.56907376042,474,69,65,2541
11592896,2593.75650928766,733,71,74,265
3543130,2593.73455482299,250,22,40,2265
11091594,2591.35501056304,305,38,41,981
6989615,2589.44727568973,468,87,69,25366
4830687,2587.50724544715,802,72,72,400
9938943,2583.24289182528,393,79,46,685
11399348,2582.86872478675,146,62,28,329
11375251,2582.27416516845,581,80,51,408
9313951,2581.61184971744,620,157,120,1484
1719471,2581.24541012662,241,46,47,2202
7959945,2578.73547308911,249,20,16,146
3149577,2575.28987632918,681,110,79,290
22461441,2574.91577692269,667,218,120,279
10917620,2572.75474606112,738,113,71,88
5370153,2568.80721976065,168,13,18,849
11380904,2566.28492215297,328,53,44,588
11269055,2566.04976030264,794,48,68,197
14919428,2560.84994432114,250,18,20,330
6404027,2559.77093954105,355,35,52,368
3533958,2559.76100674714,495,55,55,502
2472609,2559.3831758526,267,40,26,1816
2012453,2559.15979495504,195,42,26,908
11553627,2557.87547504478,112,7,8,243
10056419,2556.44717023704,549,90,56,287
4470775,2555.55103599198,257,54,21,2168
5177569,2554.60243572141,317,38,26,9343
7003293,2548.32843987445,133,45,21,47236
10651106,2547.70573305817,762,86,78,408
9224078,2542.42380548055,103,1,11,333
4734703,2539.46336295043,428,74,61,112
14970132,2538.45132139527,96,33,7,908
7027766,2529.8635106821,228,32,23,10448
9505131,2527.89603224502,157,35,17,642
284905,2523.47124716858,102,16,12,36606
11226645,2522.59007217973,374,76,26,1719
