"Player","Rating","Games","1st","2nd","3rd","4th","Lag"
7768626,1441.43125656778,2,0,0,0,0,397
8508413,1441.30755859218,3,0,0,0,0,35025
4266982,1441.29880252322,21,5,4,0,0,58015
13739799,1441.27483672628,3,0,0,0,0,35510
22908812,1441.25007776611,6,2,4,0,0,49230
22629385,1441.22331653093,2,0,1,0,0,21747
27306561,1441.22285874437,2,0,0,0,0,65857
12463047,1441.17061243563,9,0,1,0,0,60522
16937289,1441.10640833255,22,0,0,0,0,46619
16299020,1441.08061148643,4,0,0,0,0,974
6960689,1441.07791324675,76,4,5,0,0,21017
20405106,1441.06570170014,2,0,0,0,0,56320
11045489,1441.05620269901,3,0,0,0,0,5970
18696391,1441.02957298927,20,0,0,0,0,56570
26489907,1441.01954393645,18,1,2,0,0,54347
5128334,1440.96176672406,9,0,1,0,0,29293
12660895,1440.95876065274,4,0,0,0,0,43583
30480848,1440.90581487194,17,2,1,0,0,44161
24660930,1440.8756627193,2,0,0,0,0,8750
22942234,1440.86856011874,4,0,0,0,0,32873
18321800,1440.86670236277,4,0,0,0,0,56186
12640485,1440.83051172081,3,0,0,0,0,63707
6357349,1440.81122218614,10,0,0,0,0,53952
11698213,1440.8085,2,0,2,0,0,60412
15658574,1440.8085,2,0,2,0,0,66396
16579719,1440.78812374582,7,1,0,0,0,5155
13513428,1440.76233098649,4,0,0,0,0,58441
29824043,1440.73812428894,2,0,0,0,0,2812
13344661,1440.72865696252,18,0,0,0,0,5636
14910729,1440.70867693523,6,0,0,0,0,6584
12478616,1440.70520270109,22,8,6,0,0,52492
8758065,1440.594548091,38,3,3,0,0,312
19501020,1440.55012314348,81,4,3,0,0,880
6748747,1440.47052620744,113,12,16,0,0,22483
14888376,1440.46040888939,7,0,0,0,0,9103
17867861,1440.44044707739,2,0,0,0,0,63201
14627209,1440.40598615736,10,0,0,0,0,1375
14991843,1440.38268033452,5,0,0,0,0,2459
17437361,1440.36645296318,6,0,0,0,0,1379
22133355,1440.36492808603,11,0,0,0,0,41417
10565596,1440.30130024711,238,16,25,0,0,414
12431879,1440.2992983969,3,0,0,0,0,68419
4001304,1440.27407499857,8,0,0,0,0,62601
11421321,1440.26620163029,10,0,0,0,0,5808
22061422,1440.2469638572,11,0,1,0,0,55160
24165365,1440.23153148544,2,0,0,0,0,41018
11510190,1440.2140881647,6,0,0,0,0,32748
16665306,1440.20959379954,22,0,0,0,0,31713
2509587,1440.19686120728,4,0,0,0,0,6279
31491343,1440.17153941098,3,0,0,0,0,38002
14269757,1440.15349318392,299,2,8,0,0,80
13220192,1440.12662971042,6,2,4,0,0,1953
13551943,1440.07871073285,2,0,0,0,0,63553
13111069,1440.0557700861,162,7,17,0,0,133
28351472,1440.01734482793,65,0,5,0,0,13841
14165931,1440.00005810048,13,0,0,0,0,46135
18952505,1439.96442271646,17,0,0,0,0,5067
18102646,1439.93660469273,22,0,1,0,0,53848
17855016,1439.91672876403,3,0,0,0,0,63286
18099141,1439.89796641832,17,0,0,0,0,27502
15386288,1439.89447684598,5,0,0,0,0,43074
24184846,1439.89119406216,32,6,2,0,0,23576
14895608,1439.86596323539,131,6,2,0,0,210
13673669,1439.85077422552,7,1,0,0,0,56065
