"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","Lag"
12760743,2676.89518720139,306,62,45,0,0,0,0,0,0,0,0,162
4346274,2675.79985523548,410,49,49,0,0,0,0,0,0,0,0,88
5423872,2672.12113579001,207,28,17,0,0,0,0,0,0,0,0,1459
10056419,2670.98546165502,944,162,106,0,0,0,0,0,0,0,0,521
4830687,2670.288705251,1284,136,123,0,0,0,0,0,0,0,0,456
11592896,2670.15522986396,928,93,94,0,0,0,0,0,0,0,0,418
3533958,2669.24054145312,694,78,76,0,0,0,0,0,0,0,0,127
1629553,2667.69968126669,134,32,21,0,0,0,0,0,0,0,0,51072
11376152,2666.99964835009,1127,222,183,0,0,0,0,0,0,0,0,418
11684622,2666.10471096624,513,52,46,0,0,0,0,0,0,0,0,3715
2558286,2664.41429717078,667,149,118,0,0,0,0,0,0,0,0,94
11215030,2663.24019471777,790,141,116,0,0,0,0,0,0,0,0,6321
11375251,2663.10494818633,1083,156,121,0,0,0,0,0,0,0,0,84
7802400,2657.26431046911,668,126,72,0,0,0,0,0,0,0,0,560
13228917,2656.91892240582,434,94,45,0,0,0,0,0,0,0,0,10908
3257847,2654.38925428501,2095,466,274,0,0,0,0,0,0,0,0,242
5783061,2652.8357661435,146,53,17,0,0,0,0,0,0,0,0,7544
10092099,2647.60986039112,158,64,34,0,0,0,0,0,0,0,0,32307
1719471,2645.84568299769,268,52,53,0,0,0,0,0,0,0,0,1318
10917620,2638.11409810678,953,152,89,0,0,0,0,0,0,0,0,12
8359561,2634.31925928828,1604,255,273,0,0,0,0,0,0,0,0,933
12796317,2630.29894025092,278,44,34,0,0,0,0,0,0,0,0,687
10325072,2626.62749641533,2101,208,169,0,1,0,0,0,0,0,0,11
9961301,2626.39406495028,268,72,57,0,0,0,0,0,0,0,0,10704
7342622,2626.28964515642,102,7,7,0,0,0,0,0,0,0,0,3088
12952320,2626.22867068705,164,20,10,0,0,0,0,0,0,0,0,3810
