"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","11th","12th","13th","14th","15th","16th","17th","18th","19th","20th","Lag"
16748549,1591.33344656732,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
20087811,1588.10956322961,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
19364028,1584.38142832252,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9523661,1576.80935837597,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217
10634348,1574.99249806856,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
14472389,1574.62553304412,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
11255340,1573.12324282608,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17911347,1568.32536276013,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
13381374,1567.71315070799,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
11119010,1566.06062982155,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
6036351,1563.7697512093,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
13516784,1563.27543318146,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
13826244,1562.63481148609,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
8726490,1562.61197421064,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
8077264,1561.28026796409,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
9560694,1559.32952346964,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11718072,1557.69690822794,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
23180405,1556.91763460857,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
17405526,1556.8558841939,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
17979410,1555.96190936352,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
13141032,1554.12437989188,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
12125203,1553.81347601628,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
9834366,1553.54886332828,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
12537417,1551.53368641855,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2541804,1551.21852971622,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
10701875,1550.73826907225,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
