"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","11th","12th","13th","14th","15th","16th","Lag"
17911347,2389.05852429644,239,121,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371
7010761,2388.25213589341,179,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1596
11380904,2384.7020560106,188,39,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258
9961301,2383.96032274742,155,32,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
12779141,2382.2585387393,306,35,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3738
9921139,2381.01087604079,260,77,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096
10549880,2380.63615527682,217,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821
5447609,2374.6767636917,135,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817
9052194,2373.55098670872,450,89,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
2472609,2372.55766472135,201,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935
10056419,2372.28693362153,214,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440
12736534,2370.68534129739,102,33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4117
8359561,2368.81286387909,715,144,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
16436446,2366.49293990975,219,57,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217
11388931,2365.47002738385,77,39,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23683
5309981,2357.63642183394,618,152,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333
6671641,2357.46297716186,290,33,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
4108547,2345.26796824568,130,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797
8698024,2344.65010205686,194,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821
10077431,2343.78624947348,115,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15126
10343292,2340.23423925264,185,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687
8195473,2338.68786796735,139,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244
11376152,2336.12984738839,288,80,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
11305398,2334.61112004337,111,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2261
