"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","Lag"
6622567,1335.29617239364,6,0,1,0,0,0,0,131801
12611814,1335.29160714588,8,0,4,0,0,0,0,92324
16186982,1335.26675043753,42,0,2,0,0,0,0,62565
20811937,1335.23588435416,10,0,0,0,0,0,0,63060
14799116,1335.21297994587,10,0,0,0,0,0,0,43072
29231512,1335.19326089596,36,1,4,0,0,0,0,33429
17472376,1335.19199110056,10,0,0,0,0,0,0,127513
9562353,1335.13164563492,908,27,62,0,0,0,0,115
19397628,1335.10633317584,19,5,9,0,0,0,0,26079
7803696,1335.00471058144,40,3,2,0,0,0,0,99313
21868777,1334.95900310041,37,3,6,0,0,0,0,371
30320380,1334.90058090108,10,0,0,0,0,0,0,29871
8237324,1334.89975948192,23,2,2,0,0,0,0,21566
11506555,1334.85075096383,24,0,0,0,0,0,0,66804
11299087,1334.78335060182,11,0,0,0,0,0,0,108281
33192260,1334.75704949352,8,0,0,0,0,0,0,21725
19201392,1334.7561006447,7,1,2,0,0,0,0,83201
9053638,1334.71905661536,38,3,2,0,0,0,0,55172
15799171,1334.71090842875,298,42,38,0,0,0,0,1048
8147403,1334.70141376382,11,0,0,0,0,0,0,49048
20285532,1334.69845328992,52,5,3,0,0,0,0,45056
22699358,1334.69454881309,14,0,0,0,0,0,0,53960
14546920,1334.57567342061,28,1,0,0,0,0,0,303
20958628,1334.50218236793,10,0,0,0,0,0,0,108951
24267206,1334.49149252762,25,0,0,0,0,0,0,45369
14225574,1334.48559015799,445,55,55,0,0,0,0,16
10406918,1334.47798864984,18,0,0,0,0,0,0,101200
13111069,1334.45083999219,208,9,17,0,0,0,0,2227
19294770,1334.42806139059,16,0,1,0,0,0,0,69313
9501038,1334.41421734428,12,0,0,0,0,0,0,54991
18530293,1334.405995173,8,0,0,0,0,0,0,17567
28733327,1334.36539828172,17,0,0,0,0,0,0,108281
16360422,1334.26457100801,178,16,16,0,0,0,0,28098
34368488,1334.22932276182,20,0,2,0,0,0,0,30654
25638767,1334.22064600721,11,0,0,0,0,0,0,2723
16126256,1334.15653709416,10,0,0,0,0,0,0,80699
17484822,1334.12839096406,10,0,0,0,0,0,0,2919
