"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","Lag"
6090175,2462.15811663472,492,40,47,0,0,0,0,0,0,32
8660293,2458.88205540886,170,21,21,0,0,0,0,0,0,698
13962152,2458.84818454356,98,29,22,0,0,0,0,0,0,9072
14215850,2456.01833606282,125,14,8,0,0,0,0,0,0,2
3345902,2450.56299828619,78,6,13,0,0,0,0,0,0,2324
12378737,2450.50522298944,198,26,19,0,0,0,0,0,0,3491
9938943,2449.74368750576,204,54,24,0,0,0,0,0,0,1177
10917620,2449.1703099085,503,76,40,0,0,0,0,0,0,210
6327638,2446.3944093445,359,38,40,0,0,0,0,0,0,478
4715598,2441.87752743234,120,62,40,0,0,0,0,0,0,1525
13540434,2440.68264976657,217,23,22,0,0,0,0,0,0,4368
6387149,2435.68184952053,420,42,75,0,0,0,0,0,0,1743
1876565,2435.10134208074,235,34,34,0,0,0,0,0,0,133
11129034,2432.24886677869,910,158,144,0,0,0,0,0,0,2
11376152,2431.2505489102,514,116,98,0,0,0,0,0,0,218
7537133,2430.53577404405,372,38,37,0,0,0,0,0,0,32
11405734,2424.67944273196,330,104,48,0,0,0,0,0,0,662
8335950,2422.20468036197,92,28,11,0,0,0,0,0,0,31869
15296550,2422.01010322808,289,72,40,0,0,0,0,0,0,354
1987591,2417.79519652894,230,9,13,0,0,0,0,0,0,218
9474976,2415.89793715431,236,26,35,0,0,0,0,0,0,15438
10481416,2415.59768762561,165,48,27,0,0,0,0,0,0,395
11375251,2414.57173665244,395,35,36,0,0,0,0,0,0,250
11269055,2414.23841898795,513,31,38,0,0,0,0,0,0,344
9961301,2413.2620593832,185,38,43,0,0,0,0,0,0,5607
13705417,2411.72243846212,261,32,26,0,0,0,0,0,0,32
6867478,2410.12602641833,524,102,60,0,0,0,0,0,0,0
10676573,2408.3492657999,448,73,51,0,0,0,0,0,0,42635
5477343,2408.29302175034,281,46,38,0,0,0,0,0,0,964
10077431,2407.89986346453,122,15,19,0,0,0,0,0,0,2324
8195473,2405.80498609357,159,35,30,0,0,0,0,0,0,10245
5774823,2400.52317081535,86,15,15,0,0,0,0,0,0,2851
20087811,2398.75258221723,488,109,63,0,0,0,0,0,0,4222
