"Player","Rating","Games","1st","2nd","3rd","4th","Lag"
12408961,3072.64391413164,437,199,62,0,0,262
14106450,3008.51055850518,196,67,29,0,0,457
7813296,2725.06716453073,250,57,30,0,0,2836
9694263,2697.07324566985,170,65,39,0,0,69
2165650,2692.64462834345,565,140,110,0,0,338
9313951,2686.68291008271,374,98,82,0,0,263
2546001,2651.54961347053,382,87,56,0,0,964
8152145,2631.8222744794,141,39,15,0,0,727
2291265,2626.03722500179,212,42,29,0,0,262
11375105,2620.71514983038,237,42,26,0,0,341
8116659,2608.56462056742,173,45,23,0,0,433
18092331,2593.32017567942,392,88,41,0,0,938
7892320,2571.64791335416,341,68,56,0,0,138
11443437,2563.79011055865,943,327,171,0,0,138
8640970,2556.0718744188,319,40,49,0,0,433
11552867,2545.71343936719,318,70,47,0,0,844
2511839,2537.19324185372,397,86,55,0,0,457
7075211,2534.71946577488,210,31,32,0,0,643
9405745,2534.32188254522,263,56,23,0,0,116
9269034,2506.07399675704,287,50,38,0,0,126
6304246,2505.51029169611,138,31,19,0,0,6644
1646397,2501.05260528527,212,29,26,0,0,938
6989615,2489.84241476543,295,45,44,0,0,707
3533958,2484.84008783104,223,25,22,0,0,779
11592896,2482.63722196723,285,44,35,0,0,348
4734703,2472.46087219297,134,30,25,0,0,938
7787629,2466.10702933901,183,47,32,0,0,50
6090175,2462.58630235835,283,24,31,0,0,205
1473890,2461.46917993589,76,27,15,0,0,1141
11198996,2440.68555983426,115,19,20,0,0,154
14806365,2432.32854824619,320,46,32,0,0,911
10343292,2429.83436173018,135,27,22,0,0,237
6387149,2427.53206488376,300,36,62,0,0,627
7562902,2423.25967445849,49,8,9,0,0,433
11405734,2420.50003057998,309,102,47,0,0,5192
3149577,2417.45075985135,324,44,50,0,0,941
5981005,2415.16147986551,70,37,18,0,0,941
3257847,2410.66865278912,644,161,84,0,0,68
7010761,2410.41681458092,159,25,23,0,0,126
10676573,2408.3492657999,448,73,51,0,0,3028
124493,2407.38393553803,63,16,17,0,0,262
5199332,2404.48895762863,303,66,51,0,0,1182
5774823,2403.35166390275,78,15,15,0,0,8579
12959983,2402.50709806127,210,49,32,0,0,239
14758501,2397.52679841396,567,96,69,0,0,60
14362480,2390.58658439493,93,38,16,0,0,239
20087811,2389.21695838635,321,78,43,0,0,190
10056419,2384.87855310765,180,27,18,0,0,844
11129034,2381.35164121038,591,103,98,0,0,138
11380904,2380.76268118208,163,37,28,0,0,844
9961301,2380.13025570659,132,29,32,0,0,165
2472609,2379.47622693904,163,26,19,0,0,154
16509171,2378.5801151493,190,53,23,0,0,8764
12779141,2367.23050669494,242,27,33,0,0,964
11388931,2365.47002738385,77,39,15,0,0,11562
5447609,2364.84962697044,126,29,23,0,0,1028
8698024,2359.21984082282,164,33,15,0,0,1141
11226645,2351.06928907726,106,32,8,0,0,1085
10077431,2343.78624947348,115,14,19,0,0,3005
9362168,2338.65757669651,418,67,48,0,0,239
7959945,2336.71561410959,79,8,6,0,0,909
5645231,2332.40295593394,157,19,9,0,0,770
15173952,2331.85960263887,215,32,28,0,0,909
6754508,2331.55911533718,96,24,9,0,0,3059
13065919,2330.77134505483,198,66,27,0,0,6
22461441,2330.11084546608,296,92,47,0,0,13
7027766,2329.88201787335,132,21,16,0,0,1624
11684622,2322.91055819861,129,17,12,0,0,1141
10549880,2322.39981012936,211,29,20,0,0,1068
1818573,2319.83040468358,206,45,18,0,0,239
19998548,2315.41736402543,171,37,32,0,0,2863
16320893,2314.93739774083,757,174,119,0,0,68
8364754,2314.10256809982,65,35,12,0,0,29657
10463129,2312.5525213931,557,102,88,0,0,831
9921139,2309.97858443796,185,51,42,0,0,274
10434787,2309.20572150422,186,45,21,0,0,564
6327638,2306.01575799377,146,22,23,0,0,625
8660293,2302.42076257972,115,16,14,0,0,1054
8208289,2299.87133747032,125,16,11,0,0,844
8359561,2299.20984670536,665,127,135,0,0,263
9052194,2296.39273597398,401,79,65,0,0,138
6303313,2294.73572792927,85,43,18,0,0,15773
5309981,2293.4783352953,467,108,90,0,0,938
284905,2290.68700772389,54,7,5,0,0,7613
11255340,2290.57034512115,512,101,51,0,0,68
6671641,2288.06573835323,234,26,17,0,0,873
7009485,2286.87132170716,111,34,14,0,0,51
4383303,2286.63929122318,148,53,30,0,0,873
10760701,2286.05427300548,82,30,13,0,0,3660
9719351,2285.55990517076,138,3,5,0,0,844
11305398,2284.64115667157,98,28,6,0,0,584
12736534,2282.80071383451,86,29,15,0,0,651
3717598,2280.1325916398,95,22,18,0,0,3716
12578000,2279.50723537298,177,25,26,0,0,247
4382220,2279.30758735959,278,90,48,0,0,982
16436446,2278.42132830966,156,39,23,0,0,450
11215030,2278.15286292124,174,38,38,0,0,5919
13380270,2275.19625147149,214,17,16,0,0,922
6399568,2272.76980366999,113,28,25,0,0,1624
2758279,2272.71614245518,95,12,11,0,0,938
4585186,2270.61575934748,144,18,28,0,0,480
6830745,2269.98202544414,428,96,78,0,0,568
10170668,2264.90755335779,126,17,9,0,0,386
4504101,2264.51626038971,56,8,8,0,0,433
4659319,2264.0448069098,98,9,10,0,0,1250
5407620,2261.22223749978,144,5,9,0,0,6793
4637369,2260.93946525132,132,38,29,0,0,251
7802400,2259.21170886637,144,14,16,0,0,916
6667041,2255.67765579019,80,9,10,0,0,262
5442251,2254.16343332368,92,28,16,0,0,16065
5413624,2254.04391303816,412,55,48,0,0,205
11269055,2252.94112553354,298,18,20,0,0,938
4399129,2248.10817019003,292,61,48,0,0,175
17467899,2243.8994147939,631,171,103,0,0,818
5177569,2238.7438278204,153,14,10,0,0,568
4519494,2237.3308698142,232,15,25,0,0,69
20988374,2237.19496644251,152,17,16,0,0,15337
7512553,2237.18826915816,95,41,19,0,0,27036
20461077,2235.33745267352,86,16,16,0,0,12588
11375251,2230.02732894133,160,19,16,0,0,844
4784772,2228.01625504153,375,70,50,0,0,237
8472976,2227.8774762311,37,13,12,0,0,7936
6867478,2225.870942226,254,39,28,0,0,832
8581210,2225.43268030982,225,77,32,0,0,3818
10728620,2224.54627037437,204,21,24,0,0,34
16561695,2223.97224389387,178,9,17,0,0,540
9027651,2218.50277694784,262,48,48,0,0,2164
7989469,2215.09645023903,554,92,66,0,0,195
4108547,2212.43092892766,98,10,1,0,0,941
3213239,2208.56259267861,83,25,7,0,0,8251
17911347,2208.08250921264,193,92,41,0,0,6803
6973354,2206.12699456161,165,28,17,0,0,14634
11234706,2205.89214003676,432,65,60,0,0,34
11376152,2205.68042591254,218,57,45,0,0,1097
14385814,2203.54401765731,303,31,29,0,0,649
114017,2202.49325851203,528,64,82,0,0,154
9728880,2201.83991204156,156,5,8,0,0,995
2848604,2200.29417658801,133,25,11,0,0,967
8715276,2199.86613793412,165,37,28,0,0,682
8509247,2199.84364445397,74,16,12,0,0,1410
5477343,2196.82495358152,157,19,19,0,0,3609
6479616,2195.30556787149,82,17,17,0,0,17602
11786864,2195.28371428008,334,38,30,0,0,50
7060756,2193.4941106616,242,56,47,0,0,244
10829419,2193.40891060397,186,13,12,0,0,205
12260184,2191.35840710061,239,11,16,0,0,3051
7101953,2186.8891238079,258,27,32,0,0,4168
7153533,2186.28288866252,157,16,11,0,0,995
17958667,2185.96505996524,287,29,30,0,0,540
14097024,2184.96844985961,90,7,6,0,0,941
14800198,2184.49189315319,101,6,4,0,0,448
4733185,2184.24192222918,87,3,3,0,0,1141
14309415,2182.81792441436,158,8,8,0,0,540
4346274,2181.67092875688,49,13,10,0,0,1836
11042418,2181.64170847162,83,17,12,0,0,1837
3730848,2181.08779301761,168,17,22,0,0,138
12941954,2180.82542399905,125,28,26,0,0,26
10092099,2180.70516354798,90,36,20,0,0,20279
10717635,2180.20174133175,225,10,17,0,0,1043
7178423,2180.09149877167,72,11,12,0,0,15396
4780986,2179.81461785535,91,8,10,0,0,239
10651106,2178.32140190545,231,29,28,0,0,844
12777806,2178.22496775648,117,35,20,0,0,912
9323821,2176.17411354888,304,78,53,0,0,50
5271371,2175.989069787,59,9,19,0,0,1141
10509043,2174.41898879878,139,18,11,0,0,995
12147277,2173.9209136268,297,54,43,0,0,263
6404027,2172.60222839627,95,4,12,0,0,6298
20630250,2171.21041551431,822,113,91,0,0,60
10917620,2171.19827111036,253,27,20,0,0,844
7003293,2169.74599752187,59,18,6,0,0,174
2917990,2168.07824223766,147,26,16,0,0,812
12273264,2167.90411225924,62,26,4,0,0,778
4209818,2167.10570883999,155,7,10,0,0,540
12483293,2166.82283951939,195,32,19,0,0,400
1775182,2166.74898202068,148,37,27,0,0,85
2504750,2166.73148180515,57,11,4,0,0,1613
14035920,2166.13879271774,61,8,9,0,0,237
8925266,2165.49845981762,78,6,14,0,0,941
1876565,2164.49001474335,161,23,23,0,0,451
1428455,2162.96850477504,42,21,9,0,0,1435
12378737,2159.39349935271,123,13,11,0,0,770
2012453,2159.38300923673,88,7,7,0,0,15407
11706972,2159.06968221614,194,24,18,0,0,1063
1460263,2158.51550076701,847,184,142,0,0,26
5791401,2157.77930058218,445,43,49,0,0,1050
9211924,2156.914483477,141,20,9,0,0,1076
5242158,2156.1061082446,136,17,17,0,0,205
9767342,2153.63836246147,99,21,18,0,0,966
4389490,2151.99418755322,89,27,12,0,0,53
10051720,2151.0510392127,134,4,8,0,0,3057
16817965,2150.8829022347,45,16,5,0,0,4168
3674590,2150.72635697472,227,55,33,0,0,239
6585939,2148.52413339529,86,13,11,0,0,1186
10659233,2146.93178206138,131,17,11,0,0,6
9683186,2146.61732448377,142,9,12,0,0,239
4803900,2145.78821938706,95,30,14,0,0,448
4415285,2145.08746185076,159,23,30,0,0,1104
7972980,2145.05148479404,118,16,10,0,0,1651
14518295,2144.21885249581,273,58,31,0,0,3267
7657831,2142.67216853587,99,31,22,0,0,13706
9501251,2141.63663584246,258,23,20,0,0,1733
10157694,2141.5889085587,463,59,54,0,0,72
10592853,2141.57054980198,178,15,27,0,0,4219
4755314,2138.55703004581,286,50,48,0,0,144
14438574,2137.62943834011,180,25,13,0,0,2413
1860489,2137.37646035696,109,23,17,0,0,338
13228917,2135.90741465984,128,19,12,0,0,60
5154946,2134.42745438279,257,21,20,0,0,844
8443945,2132.09529468554,92,12,11,0,0,7613
9474976,2131.06087911064,119,11,15,0,0,625
14447878,2130.48996590271,569,85,89,0,0,154
8335950,2127.56030477534,72,15,6,0,0,116
7587763,2127.29763987966,237,50,32,0,0,189
11243772,2126.23659765198,89,12,12,0,0,554
11345747,2125.66101421971,106,37,23,0,0,86
11137291,2123.62668184426,287,60,47,0,0,718
15293080,2123.28124581249,104,29,18,0,0,60
3493804,2121.40879138271,290,52,26,0,0,760
15271985,2121.07719887139,122,32,16,0,0,48
4857328,2120.02454072302,125,22,8,0,0,205
4470775,2118.90932699771,130,16,12,0,0,20217
2282047,2118.87199602845,69,8,9,0,0,3047
17241883,2118.81158304171,218,24,21,0,0,148
12585048,2118.50005710087,61,5,10,0,0,205
8195473,2118.19690941722,98,14,20,0,0,274
11940767,2117.37836733497,79,7,7,0,0,1315
16768757,2116.7269213691,121,25,9,0,0,413
7302146,2116.47607952847,159,31,24,0,0,1236
5472693,2116.10377397172,182,24,19,0,0,122
8150535,2115.25180218328,271,38,30,0,0,386
11715109,2111.66633762721,148,6,10,0,0,9922
9364137,2111.65769347508,100,18,17,0,0,62
7537133,2111.59421825899,81,9,5,0,0,7064
18983,2111.58025757305,87,13,5,0,0,1141
9924405,2111.46235682853,281,40,30,0,0,249
13291701,2111.41443999772,301,41,34,0,0,911
16227745,2111.1807476489,473,65,54,0,0,233
13709281,2111.03162679011,86,13,9,0,0,205
2694475,2110.38355882122,108,14,23,0,0,14868
14215850,2107.81205998407,69,6,5,0,0,938
6920104,2107.55247433606,101,16,21,0,0,6088
15441612,2107.06021873484,1592,380,356,0,0,51
8964050,2105.34295044867,76,25,7,0,0,17347
7586334,2104.70080186435,94,7,12,0,0,995
3328742,2103.67089596874,117,8,5,0,0,866
7078544,2102.4966357539,116,17,12,0,0,6340
4458239,2101.91263410037,211,7,13,0,0,873
6619303,2101.54372247506,88,8,4,0,0,1324
8007528,2101.43400822022,51,16,7,0,0,32312
11234356,2099.17244058939,76,20,10,0,0,4112
5218178,2099.04899141765,90,13,13,0,0,6864
6420308,2096.73067463922,238,37,45,0,0,911
7696512,2096.10039705797,72,22,20,0,0,4779
2590257,2095.6783854748,79,17,13,0,0,2836
3139364,2095.32475984223,71,11,6,0,0,3234
251683,2093.74403987635,127,8,12,0,0,7610
15656399,2093.057852946,119,29,9,0,0,570
9340773,2092.91732291667,150,18,13,0,0,1613
1433427,2092.33440891055,265,48,34,0,0,324
2321050,2092.03329211353,54,12,6,0,0,7069
14674958,2091.64123603018,120,26,15,0,0,195
11207004,2090.23839160244,118,21,18,0,0,3064
10504596,2088.58138471,54,15,4,0,0,4168
10665363,2088.33833677988,80,20,6,0,0,6
16052525,2088.1971446501,345,45,23,0,0,540
4277702,2087.55986121669,107,19,19,0,0,3046
16288992,2086.70007549849,260,35,39,0,0,205
21196745,2085.95013087247,59,10,10,0,0,1107
12728547,2084.90949846734,145,15,23,0,0,1208
10849159,2084.18966189002,130,27,11,0,0,247
7554753,2083.59877903662,38,11,6,0,0,14526
12241010,2083.27294377886,144,38,23,0,0,1646
9820792,2083.11331456694,97,11,5,0,0,34
139670,2082.30345578133,269,38,40,0,0,138
14445724,2080.92359637009,70,5,4,0,0,2914
11553627,2080.47624838125,57,2,3,0,0,7949
10137131,2080.06537011288,194,15,27,0,0,334
11367222,2079.42598600091,79,7,5,0,0,14614
11153458,2077.4457183598,47,2,2,0,0,9279
757783,2076.52138875589,532,82,57,0,0,154
7780605,2074.96484541884,194,27,19,0,0,1141
11189164,2073.86230712482,528,100,64,0,0,448
11967146,2073.475535365,193,60,43,0,0,1705
12537417,2072.44144001472,331,37,27,0,0,68
9501611,2071.65323754,178,24,17,0,0,1069
4830687,2069.96159132228,266,20,22,0,0,563
12796317,2069.90436624198,77,22,11,0,0,625
8530809,2069.64504440572,165,30,26,0,0,651
13627426,2068.94977948887,126,9,10,0,0,458
11604978,2067.67650418694,59,16,4,0,0,20351
4316633,2067.25713260033,110,7,12,0,0,941
10997439,2064.53901513137,392,28,44,0,0,915
7640581,2063.56826769278,180,20,15,0,0,237
12904237,2063.15298388754,450,46,25,0,0,144
11920994,2062.51103844237,285,21,16,0,0,955
12601090,2062.09209718925,103,10,12,0,0,204
6111086,2061.85084577539,35,11,12,0,0,12919
1987591,2060.70818754465,74,1,3,0,0,941
9294554,2060.22598154069,104,8,6,0,0,2914
12130373,2059.3195236136,35,16,3,0,0,11783
14548572,2059.31198904222,157,33,26,0,0,6086
12040280,2058.89386918108,70,21,16,0,0,18811
8211340,2058.30794559912,50,8,12,0,0,5987
11142471,2057.27118790056,115,11,10,0,0,1876
4981809,2054.91928202546,65,15,14,0,0,451
16315382,2054.00655616914,91,29,24,0,0,522
6149313,2050.5907821914,195,55,32,0,0,1154
1218895,2049.92436837514,138,18,22,0,0,386
9367417,2049.5717041876,38,11,9,0,0,44742
9560694,2049.24986333078,230,50,31,0,0,12
8991722,2048.82954847669,230,41,31,0,0,372
