"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","Lag"
14106450,3253.48074575301,395,133,82,0,0,0,0,0,0,0,0,909
12408961,3135.20481331349,1003,429,187,0,0,0,0,0,0,0,0,60
7813296,2947.22974891918,547,121,74,0,0,0,0,0,0,0,0,1272
11443437,2909.48177122292,1549,516,292,0,0,0,0,0,0,0,0,909
2165650,2895.37568156278,949,251,175,0,0,0,0,0,0,0,0,241
9694263,2864.03366938438,572,151,94,0,0,0,0,0,0,0,0,194
8640970,2849.03207456107,692,121,125,0,0,0,0,0,0,0,0,241
7562902,2839.32475914284,141,41,30,0,0,0,0,0,0,0,0,2293
1473890,2816.05572058037,359,113,67,0,0,0,0,0,0,0,0,795
4581069,2810.50524339903,171,44,25,0,0,0,0,0,0,0,0,1151
11375105,2784.55329832441,346,75,44,0,0,0,0,0,0,0,0,2178
2511839,2774.31488605944,730,171,122,0,0,0,0,0,0,0,0,275
8007528,2772.75938398628,258,87,41,0,0,0,0,0,0,0,0,2099
9405745,2768.23876283036,573,106,61,0,0,0,0,0,0,0,0,194
3717598,2751.15677595096,255,55,47,0,0,0,0,0,0,0,0,2293
8116659,2738.47058590001,301,99,40,0,0,0,0,0,0,0,0,118
8152145,2719.33901237274,312,84,47,0,0,0,0,0,0,0,0,13701
16817965,2713.26694322195,279,64,43,0,0,0,0,0,0,0,0,1274
2546001,2712.35050696616,578,114,71,0,0,0,0,0,0,0,0,1829
10549880,2712.14261085806,363,51,40,0,0,0,0,0,0,0,0,1852
1646397,2688.40072897131,351,71,45,0,0,0,0,0,0,0,0,2500
13380270,2686.25790238971,566,78,53,0,0,0,0,0,0,0,0,807
4108547,2684.20810261012,374,45,35,0,0,0,0,0,0,0,0,965
7892320,2683.91573324063,519,95,92,0,0,0,0,0,0,0,0,1227
1906975,2664.43603023593,141,56,33,0,0,0,0,0,0,0,0,13577
18092331,2656.48352249598,999,215,110,0,0,0,0,0,0,0,0,644
6304246,2655.16665447386,284,73,38,0,0,0,0,0,0,0,0,8663
11552867,2655.1496126294,727,124,86,0,0,0,0,0,0,0,0,241
5645231,2654.7469354743,440,55,53,0,0,0,0,0,0,0,0,1554
124493,2644.02765011394,89,21,21,0,0,0,0,0,0,0,0,1984
11215030,2643.53895248732,403,59,57,0,0,0,0,0,0,0,0,345
7787629,2638.1399300306,501,119,80,0,0,0,0,0,0,0,0,741
10073635,2627.7649801493,144,41,29,0,0,0,0,0,0,0,0,2334
1719471,2627.33379810238,153,29,25,0,0,0,0,0,0,0,0,105
1876565,2626.66626908239,303,54,46,0,0,0,0,0,0,0,0,60
4734703,2623.44003466076,354,68,54,0,0,0,0,0,0,0,0,227
11198996,2618.69119294801,224,38,39,0,0,0,0,0,0,0,0,2327
6404027,2617.15704149165,317,31,46,0,0,0,0,0,0,0,0,807
8443945,2616.21371482641,311,38,38,0,0,0,0,0,0,0,0,602
19998548,2609.98819604963,350,89,68,0,0,0,0,0,0,0,0,77
9719351,2604.32455311456,681,83,76,0,0,0,0,0,0,0,0,393
2291265,2603.53082736536,469,85,63,0,0,0,0,0,0,0,0,393
9313951,2602.51804726639,583,150,116,0,0,0,0,0,0,0,0,105
5447609,2596.3596998547,169,34,28,0,0,0,0,0,0,0,0,8583
13228917,2593.04674410187,316,54,33,0,0,0,0,0,0,0,0,312
6989615,2589.44727568973,468,87,69,0,0,0,0,0,0,0,0,11235
5199332,2584.37611897768,406,93,69,0,0,0,0,0,0,0,0,2337
7075211,2583.17221637584,388,55,60,0,0,0,0,0,0,0,0,965
5309981,2582.48324390282,1007,233,180,0,0,0,0,0,0,0,0,612
8472976,2572.03444720382,102,31,28,0,0,0,0,0,0,0,0,48
7027766,2570.7561507751,215,31,23,0,0,0,0,0,0,0,0,799
11091594,2567.0663031843,266,31,34,0,0,0,0,0,0,0,0,4057
3533958,2557.76955240815,381,48,44,0,0,0,0,0,0,0,0,1366
10056419,2556.26167677161,466,80,46,0,0,0,0,0,0,0,0,309
13300203,2554.79672375309,320,55,40,0,0,0,0,0,0,0,0,56
11684622,2554.41050973623,271,31,22,0,0,0,0,0,0,0,0,116
