"Player","Rating","Games","1st","2nd","3rd","4th","Lag"
14106450,3268.6703743265,413,135,86,0,0,1730
12408961,3250.18493293482,1329,581,248,0,0,477
11443437,2995.46837197564,1873,625,371,0,0,348
7813296,2992.60924373763,727,174,98,0,0,810
8472976,2952.29205025116,396,150,98,0,0,103
2165650,2919.88716948975,1075,279,191,0,0,797
1473890,2902.85076870673,536,169,104,0,0,165
8640970,2885.61661893744,934,172,183,0,0,469
4787150,2875.41256291199,122,30,25,0,0,1307
12366071,2868.32593141523,177,26,26,0,0,1386
8007528,2867.87513213491,317,102,47,0,0,1387
8116659,2865.54125439314,378,139,52,0,0,378
7562902,2865.00264343139,146,42,30,0,0,1726
9694263,2848.33461603359,855,187,148,0,0,761
4581069,2837.52890914671,270,64,41,0,0,1326
3717598,2810.61568553515,326,66,59,0,0,477
2511839,2796.30827267591,824,199,149,0,0,348
9405745,2784.49803377869,710,129,77,0,0,1941
11375105,2774.29269864344,399,83,49,0,0,2012
2546001,2769.31596272014,765,148,93,0,0,165
13380270,2759.18652514359,639,97,63,0,0,1736
11552867,2758.52859521443,1032,176,135,0,0,4045
8443945,2754.14631196075,393,57,47,0,0,165
11399348,2750.34040908599,196,87,36,0,0,21
9269034,2743.43572637061,515,90,68,0,0,477
5645231,2742.53668463786,540,63,66,0,0,6535
7787629,2737.91937685933,562,132,90,0,0,1336
7892320,2730.46147950263,609,116,109,0,0,1638
16817965,2728.55540941893,423,81,66,0,0,477
6304246,2726.87109560014,348,82,49,0,0,477
15173952,2726.81416918,716,102,84,0,0,761
1646397,2716.13124637173,416,77,53,0,0,4199
1876565,2712.01750465297,514,103,95,0,0,143
8195473,2707.97781087229,278,65,48,0,0,1749
10549880,2701.26840617132,381,54,40,0,0,1731
5447609,2692.48046434259,186,41,32,0,0,18169
124493,2692.35409425214,101,21,22,0,0,25834
12779141,2688.4452600422,590,88,77,0,0,477
8152145,2687.054487942,350,90,50,0,0,4166
7075211,2683.02901298263,485,60,70,0,0,1726
5199332,2682.93684029913,486,107,86,0,0,3377
14970132,2678.3170774562,117,42,11,0,0,450
11794209,2677.4160955781,384,62,50,0,0,477
1906975,2664.43603023593,141,56,33,0,0,41131
11091594,2655.75566960054,356,46,54,0,0,1481
9052194,2653.77709331228,878,174,133,0,0,1731
11129034,2652.93370108584,1435,266,252,0,0,929
18092331,2650.59202306295,1230,266,142,0,0,426
10073635,2646.93646767505,166,48,32,0,0,477
2558286,2646.80040874779,333,62,50,0,0,143
2291265,2641.22779579723,563,99,71,0,0,165
4108547,2638.28937191122,533,63,54,0,0,1727
19998548,2635.88681300534,418,101,77,0,0,165
9505131,2630.15040786938,176,42,23,0,0,477
10069909,2629.49243985305,270,45,25,0,0,462
13228917,2628.50299228961,389,68,41,0,0,19
13300203,2625.58261732765,426,77,60,0,0,10170
6754508,2624.46831479943,380,52,34,0,0,319
4830687,2623.85052510145,930,97,83,0,0,1345
1719471,2620.35649600117,254,52,52,0,0,477
11198996,2618.69119294801,224,38,39,0,0,29881
6327638,2616.33200268501,473,52,50,0,0,3662
11592896,2611.80935304983,741,71,74,0,0,477
6619303,2611.46812138266,200,13,8,0,0,16442
11479551,2609.50535644095,342,72,49,0,0,477
2012453,2607.22341388363,257,62,36,0,0,80
3533958,2606.80336347453,528,58,60,0,0,1726
11684622,2606.47418618206,339,40,33,0,0,3479
9712285,2603.05261984416,492,83,82,0,0,4576
11215030,2602.29781453522,515,82,72,0,0,759
9313951,2600.00486404056,630,162,124,0,0,8120
9938943,2596.62924347521,396,79,47,0,0,1727
4734703,2594.27482273386,484,89,76,0,0,1546
6989615,2589.82521286184,469,87,69,0,0,477
6404027,2587.03740594555,373,42,55,0,0,1336
3543130,2578.95269643765,258,23,42,0,0,477
7959945,2578.73547308911,249,20,16,0,0,13569
2472609,2576.86135474771,280,41,26,0,0,1512
10056419,2573.86113016888,614,99,63,0,0,657
4659319,2570.57243025995,270,30,27,0,0,810
2932510,2567.82270586342,81,35,17,0,0,457
11380904,2566.16242327094,351,56,46,0,0,898
10651106,2565.26830905209,827,93,87,0,0,797
3149577,2557.00674728993,732,123,82,0,0,477
11375251,2550.85595683609,623,88,60,0,0,931
7003293,2548.32843987445,133,45,21,0,0,60659
7802400,2548.23034661162,372,70,37,0,0,277
22461441,2547.18441144242,736,236,130,0,0,351
9224078,2543.97068947883,135,2,15,0,0,1730
3730848,2543.93566614451,575,67,58,0,0,898
11269055,2541.61853889842,835,50,72,0,0,1092
11553627,2536.20279486608,126,12,9,0,0,6406
284905,2535.87101845428,109,16,12,0,0,1727
4470775,2534.27541538332,265,55,22,0,0,6943
7027766,2534.24002181363,229,32,23,0,0,1739
5981005,2530.94658689818,163,54,24,0,0,7415
16288992,2527.01793216246,973,191,158,0,0,113
2590257,2521.11691369499,314,29,34,0,0,1727
2035254,2519.76382082572,308,37,33,0,0,1469
8788058,2519.39190740496,611,65,71,0,0,2012
14806365,2518.2387742296,777,115,77,0,0,426
10463129,2518.20424086167,1668,307,228,0,0,351
10917620,2517.82223669053,761,114,71,0,0,180
4504101,2517.73419947498,90,10,8,0,0,15026
5407620,2516.99877646928,436,31,37,0,0,477
11940767,2516.54326993544,505,101,54,0,0,348
12959983,2507.06246709035,720,130,87,0,0,1730
8208289,2506.01293856707,429,44,44,0,0,1481
6090175,2504.03664117029,605,47,51,0,0,1330
9719351,2501.83109276324,923,99,97,0,0,165
8660293,2501.74516591844,278,43,37,0,0,1727
7780605,2500.94823535548,471,72,49,0,0,1326
14385814,2500.14444160193,672,97,80,0,0,1960
11226645,2500.08996694701,398,81,26,0,0,824
10717635,2497.17114456682,551,44,49,0,0,1398
10676573,2491.14428203093,553,94,65,0,0,277
8359561,2490.93242633075,1230,205,222,0,0,103
2312106,2490.75718625182,595,51,60,0,0,477
3995630,2487.53687250189,231,58,34,0,0,8577
4981809,2487.01165849867,440,49,49,0,0,114
14919428,2486.97657716735,328,23,24,0,0,477
12714574,2483.63473375176,153,51,34,0,0,2602
10760701,2480.99393236826,230,69,38,0,0,9542
7512553,2480.21344747334,116,54,22,0,0,51259
15293080,2477.83264038905,353,75,40,0,0,477
11042418,2476.69220265319,183,25,19,0,0,929
6942259,2475.28789086124,406,43,43,0,0,825
11367222,2471.17116862559,141,25,13,0,0,1726
3062998,2470.89261638781,157,12,18,0,0,477
14362480,2470.49843819994,195,62,30,0,0,62999
5177569,2469.98432620905,345,38,27,0,0,477
9993348,2469.40241310656,515,41,53,0,0,4313
5370153,2467.29426086345,188,14,18,0,0,9495
7657831,2465.26854247238,242,63,48,0,0,1728
10343292,2464.31458774051,523,100,87,0,0,145
9265990,2464.22048248224,759,51,64,0,0,1398
