"Player","Rating","Games","1st","2nd","3rd","4th","Lag"
11443437,2455.04395789135,234,83,48,0,0,25
9313951,2402.04644750996,113,39,30,0,0,913
12408961,2387.32790912389,79,28,7,0,0,495
2165650,2363.72912924323,124,32,31,0,0,23
2511839,2361.67072935497,157,46,23,0,0,23
14758501,2352.53074604446,106,13,13,0,0,66
9052194,2351.18452156997,131,32,29,0,0,692
11405734,2305.04137709956,60,29,8,0,0,357
16320893,2304.65862772904,198,41,36,0,0,64
7989469,2288.91545522587,159,31,22,0,0,64
4383303,2251.59837227881,80,29,10,0,0,671
5413624,2240.89024912944,107,24,18,0,0,81
11189164,2234.65895795816,133,28,20,0,0,70
7813296,2230.23299915718,74,16,8,0,0,514
3149577,2212.80597872494,76,13,12,0,0,144
11920994,2206.79679802853,81,8,6,0,0,241
20087811,2204.05358137366,53,22,11,0,0,667
14362480,2193.79467475446,55,22,9,0,0,49
8640970,2189.66723645858,71,7,12,0,0,322
16435346,2182.43464088295,115,10,9,0,0,198
10676573,2169.49165122848,70,10,11,0,0,667
20630250,2168.08024044333,220,46,28,0,0,117
9405745,2166.37355856493,58,14,6,0,0,513
12537417,2153.53256810087,105,19,7,0,0,1407
7512553,2147.29572799791,58,26,9,0,0,626
3257847,2142.61223143722,107,26,15,0,0,3
15846736,2139.95052256445,282,54,34,0,0,66
7892320,2138.03457041004,80,18,10,0,0,290
10728620,2136.94843627878,82,7,5,0,0,241
4346274,2133.40390012702,39,12,9,0,0,2371
8581210,2132.99656605455,78,32,17,0,0,42
11536421,2130.92928527159,86,8,8,0,0,36
10549880,2127.63039596745,70,8,6,0,0,23
18781432,2122.42304601707,110,16,13,0,0,64
8359561,2121.91542728883,231,61,57,0,0,116
6420308,2120.79643487552,78,16,10,0,0,653
22461441,2119.91198596153,93,51,12,0,0,11
4277702,2114.02571336781,35,14,8,0,0,145
17467899,2103.93008318577,149,43,30,0,0,30
11141578,2099.68465076138,88,21,13,0,0,344
8364754,2098.55738162177,33,20,5,0,0,557
9560694,2095.45093273268,121,38,23,0,0,607
23303515,2091.98414971237,50,19,11,0,0,1373
6867478,2090.36567116533,98,17,13,0,0,270
6643511,2090.15224095886,146,10,9,0,0,117
9269034,2089.70743100634,73,5,5,0,0,570
17847877,2086.76375830117,153,40,27,0,0,326
5442251,2081.39793181146,36,13,12,0,0,479
14518295,2078.03294484242,40,10,3,0,0,245
5791401,2078.00797567007,95,11,13,0,0,23
11345747,2077.39019115614,58,32,20,0,0,25
14806365,2069.94401962136,47,8,2,0,0,900
10343292,2063.03182245222,48,11,11,0,0,607
14106450,2050.0031417592,30,10,3,0,0,1062
9367417,2049.5717041876,38,11,9,0,0,10818
4301976,2045.20177216736,59,6,7,0,0,692
10463129,2041.45843955146,89,11,11,0,0,119
17958667,2040.15718421424,91,5,2,0,0,374
11726139,2037.4977072634,161,27,9,0,0,241
16227745,2034.24384144991,117,18,14,0,0,217
8085085,2030.92598711967,37,19,5,0,0,124
4382220,2030.47850928322,55,23,9,0,0,220
7075211,2029.19086313679,40,6,4,0,0,455
10674817,2020.98733471289,41,14,5,0,0,294
11715109,2018.13636744846,36,3,4,0,0,519
11255340,2016.83191594632,105,29,11,0,0,1179
4989296,2014.30450526285,63,14,9,0,0,852
11592896,2005.77891733393,55,2,3,0,0,513
10060138,2005.19215014013,50,15,4,0,0,144
27234119,2002.5991680596,100,16,13,0,0,99
4734703,2002.32410601464,40,9,6,0,0,1105
5199332,2002.17920104895,51,13,6,0,0,683
12450467,2001.41359768235,45,10,4,0,0,1915
16288992,2001.0298579547,108,14,22,0,0,92
9501611,2000.0926754959,56,8,4,0,0,235
11552867,1999.08246375237,39,9,4,0,0,638
10917620,1999.02305895021,54,12,6,0,0,662
11380904,1997.31583652376,57,11,7,0,0,359
13291701,1993.77686777122,48,4,3,0,0,64
16561695,1992.94111157273,49,1,4,0,0,1982
8964050,1992.18681381785,26,15,2,0,0,1868
